Image Name,Total Green Pixels,Percent of Total
01_30_2024_00:00,590597,0.19686566666666666
01_31_2024_00:00,439757,0.14658566666666667
02_01_2024_00:00,1064738,0.35491266666666665
02_02_2024_00:00,891014,0.29700466666666664
02_03_2024_00:00,1126065,0.375355
02_04_2024_00:00,1167446,0.38914866666666664
02_05_2024_00:00,1139388,0.379796
02_06_2024_00:00,925363,0.30845433333333333
02_07_2024_00:00,1137526,0.3791753333333333
02_08_2024_00:00,1002029,0.33400966666666665
02_09_2024_00:00,623889,0.207963
02_10_2024_00:00,575962,0.19198733333333334
02_11_2024_00:00,665387,0.22179566666666667
02_12_2024_00:00,644497,0.21483233333333332
02_13_2024_00:00,627356,0.20911866666666667
02_14_2024_00:00,663607,0.22120233333333333
02_15_2024_00:00,721628,0.24054266666666665
02_16_2024_00:00,827857,0.27595233333333336
02_17_2024_00:00,995793,0.331931
02_18_2024_00:00,850082,0.28336066666666665
02_19_2024_00:00,916422,0.305474
02_20_2024_00:00,841731,0.280577
02_21_2024_00:00,1012229,0.33740966666666666
02_22_2024_00:00,1027019,0.34233966666666665
02_23_2024_00:00,862532,0.2875106666666667
02_24_2024_00:00,950324,0.31677466666666665
02_25_2024_00:00,958793,0.31959766666666667
02_26_2024_00:00,1001868,0.333956
02_27_2024_00:00,980948,0.32698266666666664
02_28_2024_00:00,749475,0.249825
03_15_2024_14:54,1368707,0.45623566666666665
03_15_2024_14:54,1368707,0.45623566666666665
03_15_2024_14:54,1307365,0.43578833333333333
03_15_2024_14:54,1310447,0.43681566666666666
03_15_2024_14:55,1352207,0.45073566666666665
03_15_2024_15:00,1436928,0.478976
03_15_2024_16:00,1218308,0.40610266666666667
03_15_2024_17:00,40939,0.013646333333333333
03_15_2024_18:00,17788,0.005929333333333333
03_15_2024_19:00,22249,0.007416333333333333
03_15_2024_20:00,25875,0.008625
03_15_2024_21:14,22730,0.0075766666666666664
03_15_2024_22:00,26558,0.008852666666666667
03_15_2024_23:00,25020,0.00834
03_16_2024_00:00,395774,0.13192466666666666
03_16_2024_01:00,412670,0.13755666666666666
03_16_2024_02:00,388088,0.12936266666666665
03_16_2024_03:00,414911,0.13830366666666666
03_16_2024_04:00,395342,0.13178066666666666
03_16_2024_05:00,423558,0.141186
03_16_2024_06:00,30087,0.010029
